"DateTime","Tasa de Certificado de Depósito a Término (CDT) a 90 días - Monto, diaria"
"2020/04/24",249744.58
"2020/04/27",300700.55
"2020/04/28",142300.28
"2020/04/29",199760.01
"2020/04/30",217305.36
"2020/05/04",306722.35
"2020/05/05",241776.09
"2020/05/06",320231.46
"2020/05/07",144851.99
"2020/05/08",145096.42
"2020/05/11",443363.92
"2020/05/12",197916.39
"2020/05/13",245627.52
"2020/05/14",192334.32
"2020/05/15",179069.71
"2020/05/18",292858.32
"2020/05/19",148946.37
"2020/05/20",173116.23
"2020/05/21",160251.46
"2020/05/22",276649.99
"2020/05/26",352206.17
"2020/05/27",173282.34
"2020/05/28",274631.64
"2020/05/29",150268.98
"2020/06/01",151460.08
"2020/06/02",211242.51
"2020/06/03",190294.79
"2020/06/04",261365.39
"2020/06/05",182498.07
"2020/06/08",262182.84
"2020/06/09",186439.62
"2020/06/10",294716.75
"2020/06/11",267119.39
"2020/06/12",262952.91
"2020/06/16",462009.27
"2020/06/17",302170.99
"2020/06/18",307957.31
"2020/06/19",263336.53
"2020/06/23",396508.23
"2020/06/24",276550.15
"2020/06/25",263038.14
"2020/06/26",239254.63
"2020/06/30",514972.32
"2020/07/01",164677.12
"2020/07/02",214286.51
"2020/07/03",132817.81
"2020/07/06",221422.92
"2020/07/07",224550.53
"2020/07/08",217821.05
"2020/07/09",244800.42
"2020/07/10",158478.77
"2020/07/13",299921.44
"2020/07/14",201146.98
"2020/07/15",291373.14
"2020/07/16",196460.91
"2020/07/17",165772.47
"2020/07/21",440856.47
"2020/07/22",307044.11
"2020/07/23",327253.01
"2020/07/24",171431.02
"2020/07/27",257773.24
"2020/07/28",144875.32
"2020/07/29",210317.81
"2020/07/30",217473.69
"2020/07/31",103924.51
"2020/08/03",202623.94
"2020/08/04",137496.49
"2020/08/05",145360.83
"2020/08/06",245248.53
"2020/08/10",296088.87
"2020/08/11",210838.23
"2020/08/12",189370.67
"2020/08/13",240835.86
"2020/08/14",119946.36
"2020/08/18",328521.46
"2020/08/19",151788.23
"2020/08/20",195062.65
"2020/08/21",142465.12
"2020/08/24",336982.5
"2020/08/25",106455.99
"2020/08/26",198685.27
"2020/08/27",184420.7
"2020/08/28",180525.72
"2020/08/31",198486.2
"2020/09/01",121712.54
"2020/09/02",218841.71
"2020/09/03",167123.18
"2020/09/04",283667.18
"2020/09/07",315875.84
"2020/09/08",142187.94
"2020/09/09",205091.37
"2020/09/10",226644.02
"2020/09/11",147711.08
"2020/09/14",334144.63
"2020/09/15",125311.09
"2020/09/16",250422.92
"2020/09/17",232824.1
"2020/09/18",212091.9
"2020/09/21",324110.98
"2020/09/22",206562.7
"2020/09/23",171217.22
"2020/09/24",215549.53
"2020/09/25",143172.48
"2020/09/28",333200.57
"2020/09/29",119509.35
"2020/09/30",211075.33
"2020/10/01",115528.22
"2020/10/02",109655.72
"2020/10/05",228011.64
"2020/10/06",163195.55
"2020/10/07",143726.28
"2020/10/08",142940.94
"2020/10/09",121797.26
"2020/10/13",314655.56
"2020/10/14",155925.52
"2020/10/15",186166.24
"2020/10/16",131203.51
"2020/10/19",273148.08
"2020/10/20",264480.9
"2020/10/21",156804.66
"2020/10/22",181829.16
"2020/10/23",133376.43
"2020/10/26",277832.28
"2020/10/27",175130.89
"2020/10/28",150498.35
"2020/10/29",163355.35
"2020/10/30",175782.22
"2020/11/03",266137.6
"2020/11/04",126218.73
"2020/11/05",171034.49
"2020/11/06",132511.05
"2020/11/09",189755.59
"2020/11/10",121845.33
"2020/11/11",220308.88
"2020/11/12",164465.92
"2020/11/13",254825.51
"2020/11/17",376042.94
"2020/11/18",223868.23
"2020/11/19",319903.85
"2020/11/20",201986.95
"2020/11/23",331357.72
"2020/11/24",251473.58
"2020/11/25",127354.24
"2020/11/26",156508.23
"2020/11/27",157955.89
"2020/11/30",194792.38
"2020/12/01",156157.76
"2020/12/02",169032.62
"2020/12/03",192684.9
"2020/12/04",220619.76
"2020/12/07",276064.15
"2020/12/09",286250.45
"2020/12/10",240845.46
"2020/12/11",232388.2
"2020/12/14",235871.71
"2020/12/15",153058.89
"2020/12/16",242994.91
"2020/12/17",230828.59
"2020/12/18",302415.35
"2020/12/21",277198.72
"2020/12/22",205974.27
"2020/12/23",314834.06
"2020/12/24",121665.06
"2020/12/28",342789.79
"2020/12/29",171165.82
"2020/12/30",332169.31
"2020/12/31",14135.51
"2021/01/04",278171.02
"2021/01/05",144697.73
"2021/01/06",221425.56
"2021/01/07",153964.42
"2021/01/08",187044.67
"2021/01/12",249383.27
"2021/01/13",209711.62
"2021/01/14",186241.95
"2021/01/15",166958.56
"2021/01/18",172683.65
"2021/01/19",154601.44
"2021/01/20",129817.34
"2021/01/21",139468.2
"2021/01/22",152847.33
"2021/01/25",174073.15
"2021/01/26",176062.56
"2021/01/27",171082.17
"2021/01/28",149184.09
"2021/01/29",186498.33
"2021/02/01",199714.78
"2021/02/02",109616.19
"2021/02/03",153688.55
"2021/02/04",122378.62
"2021/02/05",132634.41
"2021/02/08",193107.6
"2021/02/09",85152.99
"2021/02/10",130252.14
"2021/02/11",167100.3
"2021/02/12",130500.5
"2021/02/15",228284.77
"2021/02/16",73047.44
"2021/02/17",143348.53
"2021/02/18",210860.68
"2021/02/19",210486.02
"2021/02/22",208112.21
"2021/02/23",157849.94
"2021/02/24",121114.71
"2021/02/25",139820.41
"2021/02/26",175341.94
"2021/03/01",339786.27
"2021/03/02",184713.48
"2021/03/03",203452.71
"2021/03/04",237530.47
"2021/03/05",113777.04
"2021/03/08",274675.41
"2021/03/09",215624.52
"2021/03/10",173687.18
"2021/03/11",167997.96
"2021/03/12",98901.72
"2021/03/15",271935.44
"2021/03/16",205268.53
"2021/03/17",169683.27
"2021/03/18",182736.32
"2021/03/19",109840.73
"2021/03/23",392398.33
"2021/03/24",213215.55
"2021/03/25",135079.36
"2021/03/26",146314.97
"2021/03/29",303366.18
"2021/03/30",223193.72
"2021/03/31",134307.55
"2021/04/05",279903.79
"2021/04/06",186388.35
"2021/04/07",202050.9
"2021/04/08",192425.39
"2021/04/09",145107.39
"2021/04/12",180874.84
"2021/04/13",202986.78
"2021/04/14",166738.76
"2021/04/15",154337.52
"2021/04/16",112036.21
"2021/04/19",249228
"2021/04/20",112310.65
"2021/04/21",172730.68
"2021/04/22",206061.71
"2021/04/23",113176.05
"2021/04/26",353537.46
"2021/04/27",181421.81
"2021/04/28",122183.62
"2021/04/29",240489.54
"2021/04/30",169284.38
"2021/05/03",294740.52
"2021/05/04",144890.56
"2021/05/05",130123.75
"2021/05/06",129264.93
"2021/05/07",89302
"2021/05/10",263920.59
"2021/05/11",177423.4
"2021/05/12",143277.76
"2021/05/13",153309.9
"2021/05/14",99729.2
"2021/05/18",467448.56
"2021/05/19",256386.88
"2021/05/20",173150.46
"2021/05/21",98182.61
"2021/05/24",286522.04
"2021/05/25",164761.55
"2021/05/26",179991.65
"2021/05/27",135920.71
"2021/05/28",96034.06
"2021/05/31",146889.39
"2021/06/01",242832.3
"2021/06/02",191590.67
"2021/06/03",269155.73
"2021/06/04",149270.26
"2021/06/08",338634.22
"2021/06/09",214003.47
"2021/06/10",409012.26
"2021/06/11",346231.03
"2021/06/15",369661.33
"2021/06/16",236612.13
"2021/06/17",179348.58
"2021/06/18",171421.18
"2021/06/21",301245.41
"2021/06/22",132783.83
"2021/06/23",284076.11
"2021/06/24",244530.73
"2021/06/25",126204.6
"2021/06/28",248078.59
"2021/06/29",176465.32
"2021/06/30",296940.38
"2021/07/01",149719.57
"2021/07/02",104763.32
"2021/07/06",386599.45
"2021/07/07",215684.76
"2021/07/08",175956.69
"2021/07/09",164394.34
"2021/07/12",227335.67
"2021/07/13",195776.8
"2021/07/14",238428.89
"2021/07/15",176971.23
"2021/07/16",107388.61
"2021/07/19",284863.03
"2021/07/21",196554.57
"2021/07/22",285305.86
"2021/07/23",112396.2
"2021/07/26",315633.28
"2021/07/27",255529.97
"2021/07/28",272676.79
"2021/07/29",238687.82
"2021/07/30",164375.71
"2021/08/02",221126.2
"2021/08/03",215091.86
