"fecha","ipc","inflacion","cdt90","n_obs"
2019-03-01,101.62,3.21990858303707,4.5165,20
2019-04-01,102.12,3.24537458295422,4.527,20
2019-05-01,102.44,3.30778539733765,4.46727272727273,22
2019-06-01,102.71,3.42362299869097,4.46388888888889,18
2019-07-01,102.94,3.79108691268399,4.43818181818182,22
2019-08-01,103.03,3.75629405840887,4.4095,20
2019-09-01,103.26,3.81019402835026,4.46428571428571,21
2019-10-01,103.43,3.8558088161462,4.38909090909091,22
2019-11-01,103.54,3.85155466399199,4.40052631578947,19
2019-12-01,103.8,3.8,4.47714285714286,21
2020-01-01,104.24,3.61829025844931,4.53,21
2020-02-01,104.94,3.71614943664755,4.4435,20
2020-03-01,105.53,3.84766778193268,4.49095238095238,21
2020-04-01,105.7,3.5056795926361,4.546,20
2020-05-01,105.36,2.85044904334244,4.27736842105263,19
2020-06-01,104.97,2.2003699737124,3.78526315789474,19
2020-07-01,104.97,1.97202253740043,3.34227272727273,22
2020-08-01,104.96,1.87324080364941,2.79789473684211,19
2020-09-01,105.29,1.96591129188457,2.39363636363636,22
2020-10-01,105.23,1.74030745431693,2.03380952380952,21
2020-11-01,105.08,1.48734788487541,1.96684210526316,19
2020-12-01,105.48,1.6184971098266,1.93714285714286,21
2021-01-01,105.91,1.6020721412126,1.92,19
2021-02-01,106.58,1.56279778921289,1.808,20
2021-03-01,107.12,1.50668056476833,1.74863636363636,22
2021-04-01,107.76,1.94891201513718,1.76,20
2021-05-01,108.84,3.30296127562644,1.806,20
2021-06-01,108.78,3.62960845955989,1.904,20
2021-07-01,109.14,3.97256358959703,1.887,20
2021-08-01,109.62,4.43978658536586,1.97809523809524,21
2021-09-01,110.04,4.51134960585051,2.05863636363636,22
2021-10-01,110.06,4.58994583293737,2.1915,20
2021-11-01,110.6,5.25314046440806,2.646,20
2021-12-01,111.41,5.62191884717482,3.04227272727273,22
2022-01-01,113.26,6.93985459352282,3.4395,20
2022-02-01,115.11,8.00337774441735,4.16,20
2022-03-01,116.26,8.53248693054518,4.96454545454545,22
2022-04-01,117.71,9.2334818114328,5.90894736842105,19
2022-05-01,118.7,9.05916942300624,6.9752380952381,21
2022-06-01,119.31,9.68008825151683,7.6655,20
2022-07-01,120.27,10.197910940077,9.16210526315789,19
2022-08-01,121.5,10.8374384236453,10.5109090909091,22
2022-09-01,122.63,11.4412940748819,10.9881818181818,22
2022-10-01,123.51,12.2206069416682,11.481,20
2022-11-01,124.46,12.5316455696203,12.54,20
2022-12-01,126.03,13.122699937169,13.4133333333333,21
2023-01-01,128.27,13.2526929189476,13.8628571428571,21
2023-02-01,130.4,13.2829467465902,14.275,20
2023-03-01,131.77,13.3407878892138,13.2268181818182,22
2023-04-01,132.8,12.8196414918019,12.4555555555556,18
2023-05-01,133.38,12.3673125526538,12.5190476190476,21
2023-06-01,133.78,12.1280697343056,13.0165,20
2023-07-01,134.45,11.7901388542446,13.4873684210526,19
2023-08-01,135.39,11.4320987654321,13.6961904761905,21
2023-09-01,136.11,10.9924162113676,13.0338095238095,21
2023-10-01,136.45,10.4768844627965,13.0333333333333,21
2023-11-01,137.09,10.1478386630243,12.7515,20
2023-12-01,137.72,9.2755693088947,12.6115789473684,19
2024-01-01,138.98,8.34957511499179,11.6104761904762,21
2024-02-01,140.49,7.7377300613497,11.0609523809524,21
2024-03-01,141.48,7.36890035668207,10.8277777777778,18
2024-04-01,142.32,7.16867469879516,10.5577272727273,22
2024-05-01,142.92,7.15249662618083,10.2266666666667,21
2024-06-01,143.38,7.17596053221707,10.1427777777778,18
2024-07-01,143.67,6.85756786909633,10.0659090909091,22
2024-08-01,143.67,6.11566585419898,9.893,20
2024-09-01,144.02,5.81147601204908,9.66714285714286,21
2024-10-01,143.83,5.40857456943937,9.43863636363636,22
2024-11-01,144.22,5.20096287110656,9.26421052631579,19
2024-12-01,144.88,5.19895440023235,9.19666666666667,21
2025-01-01,146.24,5.22377320477767,9.21190476190476,21
2025-02-01,147.9,5.27439675421737,9.2405,20
2025-03-01,148.68,5.08905852417305,9.24,20
2025-04-01,149.66,5.15739179314221,9.1535,20
2025-05-01,150.14,5.05177721802408,8.93666666666667,21
2025-06-01,150.3,4.82633561166133,8.93888888888889,18
2025-07-01,150.71,4.90011832672097,8.91565217391304,23
2025-08-01,150.99,5.09500939653373,8.77842105263158,19
2025-09-01,151.48,5.17983613387027,8.75454545454545,22
2025-10-01,151.76,5.5134533824654,8.66045454545455,22
2025-11-01,151.87,5.3043960615726,8.65166666666667,18
2025-12-01,152.27,5.10077305356158,8.91952380952381,21
2026-01-01,154.07,5.3542122538293,9.0235,20
2026-02-01,155.73,5.2941176470588,9.5235,20
2026-03-01,156.94,5.55555555555556,9.808,20
2026-04-01,158.17,5.68622210343444,10.0835,20
2026-05-01,158.91,5.84121486612497,9.96,19
2026-06-01,159.53,6.14105123087159,9.96684210526316,19
2026-07-01,159.79,6.02481587154136,10.1552380952381,21
